East Midlands,,41.5,21.5,16.3,20.7,85.4,14.7,0.1,2,1,3.1, NULL,NULL,9.6,6.1,19.8,20,6.4,17
East,,46.1,21.5,16.2,16.2,85.3,14.7,0.6,0.9,0.3,2.5, NULL,NULL,8.3,6.2,20.2,19.8,6.4,17.5
London,,55.7,16.9,14.2,13.2,44.9,55.1,1.8,5,1.5,12.4, NULL,NULL,10,10.2,25.3,17,4.2,11.1
North East,,39.2,21.4,20.5,19.9,93.6,6.8,0.2,0.3,0.2,1.8, NULL,NULL,10,6.3,18.9,20.7,6.5,17.3
North West,,42.6,20.8,18.5,18.1,87.1,12.9,0.4,0.5,0.1,5.1, NULL,NULL,9.6,6.6,19.8,19.8,6.2,16.6
Northern Ireland,,35.7,24.7,19.7,19.9,98.3,1.7,0,0,0,0,45.1,48.4,9,6.9,20.7,19.3,5.2,14.6
Scotland,,42.8,21.2,18.3,17.7,96,4,0.1,0.3,0.2,1.4, NULL,NULL,8.9,6.5,19.9,21.1,6.4,16.9
South East,,50.8,20.3,15.3,13.5,85.2,14.7,0.2,1.1,0.6,2.3, NULL,NULL,8.7,6.1,20.4,19.9,6.2,17.1
South West,,45.2,21.4,16.9,16.5,91.8,8.2,0.1,0.3,0.1,1, NULL,NULL,8.9,5.8,18.8,20.1,6.8,19.6
Wales,,40.6,22.4,18.2,18.8,93.2,7.2,0.1,0.3,0.1,1.5, NULL,NULL,9.7,6.1,18.6,19.9,6.7,16.5
West Midlands,,41.8,21.7,16.5,20,79.2,21,0.1,1.3,2.4,6.7, NULL,NULL,9.5,6.5,19.8,19.2,6,16.9
Yorkshire and the Humber,,40.9,21.5,17.8,19.8,85.8,14.2,0.2,0.5,0.4,6.2, NULL,NULL,10.1,6.6,19.7,19.5,6.2,16.5
